ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
36;B_11;-1114;153: 1.35G+1.5W8+1.5Q+0.75S;688;249: G+1.5W;76;257: G+1.5W2;134;52: 1.35G+1.5S+1.5Q+0.9W5;9490;305: G+1.5W8;25147;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
38;C_11;-1067;153: 1.35G+1.5W8+1.5Q+0.75S;908;249: G+1.5W;-5341;145: 1.35G+1.5W7+1.5Q+0.75S;2053;289: G+1.5W6;6424;289: G+1.5W6;36887;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
34;D_11;-978;153: 1.35G+1.5W8+1.5Q+0.75S;776;249: G+1.5W;-8;289: G+1.5W6;13;97: 1.35G+1.5W+1.5Q+0.75S;12078;257: G+1.5W2;30938;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
39;E_11;-1209;153: 1.35G+1.5W8+1.5Q+0.75S;1061;249: G+1.5W;-11;149: 1.35G+1.5W8+1.5Q;11;283: G+1.5W5+0.75S;14748;258: G+1.5W2+1.5Q;35586;46: 1.35G+1.5S+0.9W7;;;;;;;
35;F_11;-1079;150: 1.35G+1.5W8+0.75S;814;250: G+1.5W+1.5Q;-6;289: G+1.5W6;6;153: 1.35G+1.5W8+1.5Q+0.75S;12236;257: G+1.5W2;31003;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
33;G_11;-1209;137: 1.35G+1.5W6+1.5Q+0.75S;1065;249: G+1.5W;-11;299: G+1.5W7+0.75S;11;133: 1.35G+1.5W6+1.5Q;14574;258: G+1.5W2+1.5Q;35602;44: 1.35G+1.5S+0.9W5;;;;;;;
37;H_11;-980;137: 1.35G+1.5W6+1.5Q+0.75S;779;249: G+1.5W;-13;97: 1.35G+1.5W+1.5Q+0.75S;7;305: G+1.5W8;12078;257: G+1.5W2;30938;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
40;I_11;-1070;137: 1.35G+1.5W6+1.5Q+0.75S;912;249: G+1.5W;-2041;305: G+1.5W8;5307;129: 1.35G+1.5W5+1.5Q+0.75S;6600;305: G+1.5W8;36751;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
41;J_11;-1118;137: 1.35G+1.5W6+1.5Q+0.75S;693;249: G+1.5W;-134;54: 1.35G+1.5S+1.5Q+0.9W7;-77;257: G+1.5W2;9504;289: G+1.5W6;25132;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
;;;;;;;;;;;;;;;;;;;;
