ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
999;A_35;0;289: G+1.5W6;0;99: 1.35G+1.5W+1.5Q+0.75S3;-73;142: 1.35G+1.5W7+0.75S;73;258: G+1.5W2+1.5Q;764;306: G+1.5W8+1.5Q;1268;95: 1.35G+1.5W+0.75S2;;;;;;;
1420;K_35;0;151: 1.35G+1.5W8+0.75S2;0;256: G+1.5W+1.5Q+0.75S3;-89;117: 1.35G+1.5W4+1.5Q;90;283: G+1.5W5+0.75S;724;290: G+1.5W6+1.5Q;1328;95: 1.35G+1.5W+0.75S2;;;;;;;
1000;A_36;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-57;299: G+1.5W7+0.75S;55;117: 1.35G+1.5W4+1.5Q;-137;306: G+1.5W8+1.5Q;1407;95: 1.35G+1.5W+0.75S2;;;;;;;
1438;K_36;0;95: 1.35G+1.5W+0.75S2;0;290: G+1.5W6+1.5Q;-84;117: 1.35G+1.5W4+1.5Q;86;283: G+1.5W5+0.75S;-404;290: G+1.5W6+1.5Q;1801;95: 1.35G+1.5W+0.75S2;;;;;;;
1019;A_41;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-58;299: G+1.5W7+0.75S;55;117: 1.35G+1.5W4+1.5Q;-133;306: G+1.5W8+1.5Q;1412;95: 1.35G+1.5W+0.75S2;;;;;;;
1397;K_41;0;95: 1.35G+1.5W+0.75S2;0;290: G+1.5W6+1.5Q;-85;117: 1.35G+1.5W4+1.5Q;88;283: G+1.5W5+0.75S;-400;290: G+1.5W6+1.5Q;1805;95: 1.35G+1.5W+0.75S2;;;;;;;
1020;A_42;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-78;299: G+1.5W7+0.75S;76;117: 1.35G+1.5W4+1.5Q;758;306: G+1.5W8+1.5Q;1272;95: 1.35G+1.5W+0.75S2;;;;;;;
1457;K_42;0;95: 1.35G+1.5W+0.75S2;0;290: G+1.5W6+1.5Q;-97;117: 1.35G+1.5W4+1.5Q;99;283: G+1.5W5+0.75S;715;290: G+1.5W6+1.5Q;1332;95: 1.35G+1.5W+0.75S2;;;;;;;
1021;A_43;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-83;299: G+1.5W7+0.75S;80;117: 1.35G+1.5W4+1.5Q;931;251: G+1.5W+0.75S;1321;149: 1.35G+1.5W8+1.5Q;;;;;;;
1326;K_43;0;252: G+1.5W+0.75S2;0;133: 1.35G+1.5W6+1.5Q;-99;117: 1.35G+1.5W4+1.5Q;102;283: G+1.5W5+0.75S;913;251: G+1.5W+0.75S;1329;133: 1.35G+1.5W6+1.5Q;;;;;;;
1022;A_44;0;252: G+1.5W+0.75S2;0;155: 1.35G+1.5W8+1.5Q+0.75S3;-83;299: G+1.5W7+0.75S;80;117: 1.35G+1.5W4+1.5Q;928;251: G+1.5W+0.75S;1336;149: 1.35G+1.5W8+1.5Q;;;;;;;
